w_no,w_name,w_area,bu_2000,bu_2022,buchg_abs,buchg_per,ndvi_2000,ndvi_2022,ndvichg_abs,ndvichg_per,slp_min,slp_max,slp_rng,slp_mean,elv-min,elv_max,elv_rng,elv_mean,tot_p,tot_m,tot_f,Latitude,Longitude,TS_2000,QV2M_2000,PRECTOTCORR_2000,WS10M_MAX_2000,WS50M_MAX_2000,TS_2022,QV2M_2022,PRECTOTCORR_2022,WS10M_MAX_2022,WS50M_MAX_2022
1,Kapra,8.85,2.96,7.36,4.39,49.65,1.18,0.38,-3.21,-36.28,0,10.67,10.67,2.5,531,583,52,555.53,44149,22411,21738,17.4302,78.5132,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
2,Dr.A.S.Rao Nagar,4.61,2.45,3.61,1.16,25.11,0.56,0.28,-0.59,-12.92,0,16.5,16.5,2.62,525,573,48,550.39,59164,30605,28559,17.1833,78.225,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
3,Cherlapally,14.82,4.74,9.38,4.63,31.26,1.95,2.11,-2.68,-18.07,0,15.03,15.03,2.47,505,564,59,531.53,57747,29417,28330,17.0917,78.1333,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
4,Meerpet H.B. Colony,3,1.56,2.26,0.7,23.32,0.57,0.16,-0.12,-4.15,0,15.99,15.99,3.14,518,573,55,542,67130,34145,32985,17,78.0417,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
5,Mallapur,6.93,2.57,4.13,1.57,22.64,1.08,1.07,-0.48,-6.99,0,13.11,13.11,2.63,498,556,58,527.02,57688,29544,28144,16.9083,77.95,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
6,Nacharam,5.05,2.34,3.18,0.83,16.48,0.98,0.15,0.14,2.87,0,11.58,11.58,2.58,492,536,44,511.2,52167,26057,26110,16.8167,77.8583,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
7,Chiluka Nagar,2.92,1.68,1.96,0.29,9.88,0.8,0.14,0.51,17.39,0,8.91,8.91,2.55,480,516,36,496.45,59061,30161,28900,16.725,77.7667,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
8,Habsiguda,5.24,2.41,2.56,0.15,2.83,0.7,0.5,0.55,10.57,0,22.23,22.23,2.71,476,534,58,505.9,75227,38377,36850,16.6333,77.675,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
9,Ramanthapur,2.76,1.51,2.15,0.65,23.4,1.14,0.03,0.49,17.73,0,10.95,10.95,2.25,468,505,37,485.73,68161,34810,33351,16.5417,77.5833,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
10,Uppal,8.33,2.38,6.01,3.63,43.57,5,0.35,1.37,16.38,0,9.18,9.18,2.05,461,504,43,479.71,68115,35052,33063,17.4167,78.5417,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
